-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     276.960us         0.04%     276.960us       5.226us           0 b           0 b           0 b           0 b            53  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     290.880us         0.04%     290.880us       5.594us           0 b           0 b           0 b           0 b            52  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     139.680us         0.02%     139.680us       5.372us           0 b           0 b           0 b           0 b            26  
                                   hipStreamIsCapturing         0.00%       6.369us         0.00%       6.369us       0.425us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            15  
                                              hipMalloc         0.12%       1.069ms         0.12%       1.069ms      66.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      30.240us         0.00%      30.240us      30.240us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     102.400us         0.01%     102.400us       3.938us           0 b           0 b           0 b           0 b            26  
void at::native::triu_tril_kernel<c10::BFloat16, int...         0.00%       0.000us         0.00%       0.000us       0.000us      11.840us         0.00%      11.840us      11.840us           0 b           0 b           0 b           0 b             1  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      52.960us         0.01%      52.960us       2.037us           0 b           0 b           0 b           0 b            26  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     268.320us         0.04%     268.320us      10.320us           0 b           0 b           0 b           0 b            26  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     197.600us         0.03%     197.600us       7.600us           0 b           0 b           0 b           0 b            26  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      30.560us         0.00%      30.560us      30.560us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.520us         0.02%     147.520us       5.674us           0 b           0 b           0 b           0 b            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     159.360us         0.02%     159.360us       6.129us           0 b           0 b           0 b           0 b            26  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.818ms         1.85%      13.818ms       5.368us           0 b           0 b           0 b           0 b          2574  
                                      hipModuleLoadData        21.10%     194.723ms        21.10%     194.723ms      38.945ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5  
                               hipExtModuleLaunchKernel         3.71%      34.266ms         3.71%      34.266ms       4.545us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7540  
Cijk_Ailk_Bljk_SB_MT64x16x16_MI16x16x4x1_SE_1LDSB0_A...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.00%       8.640us       8.640us           0 b           0 b           0 b           0 b             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      14.560us         0.00%      14.560us      14.560us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     159.680us         0.02%     159.680us       6.142us           0 b           0 b           0 b           0 b            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.680us         0.02%     147.680us       5.680us           0 b           0 b           0 b           0 b            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     191.840us         0.03%     191.840us       3.689us           0 b           0 b           0 b           0 b            52  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.926ms         1.86%      13.926ms       5.410us           0 b           0 b           0 b           0 b          2574  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.505ms         0.87%       6.505ms       3.849us           0 b           0 b           0 b           0 b          1690  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      17.202ms         2.30%      17.202ms      10.179us           0 b           0 b           0 b           0 b          1690  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.964ms         1.07%       7.964ms       4.712us           0 b           0 b           0 b           0 b          1690  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.424ms         1.26%       9.424ms       5.577us           0 b           0 b           0 b           0 b          1690  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.037ms         1.08%       8.037ms       4.756us           0 b           0 b           0 b           0 b          1690  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.554ms         3.29%      24.554ms       7.237us           0 b           0 b           0 b           0 b          3393  
Cijk_Alik_Bljk_BBS_BH_MT128x64x64_MI32x32x8x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      24.057ms         3.22%      24.057ms     187.943us           0 b           0 b           0 b           0 b           128  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.368ms         1.39%      10.368ms       6.231us           0 b           0 b           0 b           0 b          1664  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      17.000ms         2.28%      17.000ms       9.838us           0 b           0 b           0 b           0 b          1728  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.684ms         1.30%       9.684ms      10.808us           0 b           0 b           0 b           0 b           896  
Cijk_Alik_Bljk_BBS_BH_MT128x64x64_MI32x32x8x1_SN_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us       2.530ms         0.34%       2.530ms      79.050us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.934ms         0.66%       4.934ms       5.931us           0 b           0 b           0 b           0 b           832  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us      12.557ms         1.68%      12.557ms      15.092us           0 b           0 b           0 b           0 b           832  
Cijk_Ailk_Bljk_BBS_BH_MT128x128x32_MI32x32x8x1_SN_1L...         0.00%       0.000us         0.00%       0.000us       0.000us       2.588ms         0.35%       2.588ms      80.875us           0 b           0 b           0 b           0 b            32  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     653.760us         0.09%     653.760us      20.430us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.518ms         1.94%      14.518ms       4.448us           0 b           0 b           0 b           0 b          3264  
Cijk_Alik_Bljk_BBS_BH_MT128x64x64_MI16x16x16x1_SN_1L...         0.00%       0.000us         0.00%       0.000us       0.000us     201.879ms        27.03%     201.879ms     121.321us           0 b           0 b           0 b           0 b          1664  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.202ms         0.83%       6.202ms       7.454us           0 b           0 b           0 b           0 b           832  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.702ms         1.57%      11.702ms       4.763us           0 b           0 b           0 b           0 b          2457  
Cijk_Alik_Bljk_BBS_BH_MT160x128x64_MI32x32x8x1_SE_1L...         0.00%       0.000us         0.00%       0.000us       0.000us      24.809ms         3.32%      24.809ms     775.285us           0 b           0 b           0 b           0 b            32  
Cijk_Alik_Bljk_BBS_BH_MT128x96x64_MI32x32x8x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us       8.089ms         1.08%       8.089ms     311.114us           0 b           0 b           0 b           0 b            26  
