-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute        23.23%      57.893ms        23.23%      57.893ms     166.359us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           348  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.12%     302.016us         0.12%     302.016us       1.853us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           163  
                                        cudaMemsetAsync         0.67%       1.678ms         0.67%       1.678ms       8.264us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           203  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      78.304us         0.24%      78.304us       0.386us           0 b           0 b           0 b           0 b           203  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       2.497ms         7.69%       2.497ms      19.511us           0 b           0 b           0 b           0 b           128  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     228.704us         0.70%     228.704us       3.574us           0 b           0 b           0 b           0 b            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     125.376us         0.39%     125.376us       1.959us           0 b           0 b           0 b           0 b            64  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     211.362us         0.65%     211.362us       3.303us           0 b           0 b           0 b           0 b            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     204.476us         0.63%     204.476us       2.130us           0 b           0 b           0 b           0 b            96  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     213.827us         0.66%     213.827us       2.227us           0 b           0 b           0 b           0 b            96  
                                         cuLaunchKernel         0.55%       1.378ms         0.55%       1.378ms      10.285us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           134  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      89.956us         0.28%      89.956us       2.811us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.882us         0.11%      34.882us       1.090us           0 b           0 b           0 b           0 b            32  
void (anonymous namespace)::softmax_warp_forward<c10...         0.00%       0.000us         0.00%       0.000us       0.000us      61.217us         0.19%      61.217us       1.913us           0 b           0 b           0 b           0 b            32  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      90.848us         0.28%      90.848us       2.839us           0 b           0 b           0 b           0 b            32  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       8.039ms        24.75%       8.039ms     114.839us           0 b           0 b           0 b           0 b            70  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      74.688us         0.23%      74.688us       2.019us           0 b           0 b           0 b           0 b            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     100.772us         0.31%     100.772us       3.149us           0 b           0 b           0 b           0 b            32  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.434ms         7.49%       2.434ms      76.071us           0 b           0 b           0 b           0 b            32  
