-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                   cudaFuncSetAttribute        23.15%      52.755ms        23.15%      52.755ms     151.595us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           348  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.12%     263.893us         0.12%     263.893us       1.619us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           163  
                                        cudaMemsetAsync         0.63%       1.426ms         0.63%       1.426ms       7.023us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           203  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      79.227us         0.24%      79.227us       0.390us           0 b           0 b           0 b           0 b           203  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       2.508ms         7.70%       2.508ms      19.593us           0 b           0 b           0 b           0 b           128  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     229.378us         0.70%     229.378us       3.584us           0 b           0 b           0 b           0 b            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     125.409us         0.38%     125.409us       1.960us           0 b           0 b           0 b           0 b            64  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     212.928us         0.65%     212.928us       3.327us           0 b           0 b           0 b           0 b            64  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     204.219us         0.63%     204.219us       2.127us           0 b           0 b           0 b           0 b            96  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     215.071us         0.66%     215.071us       2.240us           0 b           0 b           0 b           0 b            96  
                                         cuLaunchKernel         0.52%       1.175ms         0.52%       1.175ms       8.771us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           134  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      89.666us         0.28%      89.666us       2.802us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.071us         0.11%      35.071us       1.096us           0 b           0 b           0 b           0 b            32  
void (anonymous namespace)::softmax_warp_forward<c10...         0.00%       0.000us         0.00%       0.000us       0.000us      61.215us         0.19%      61.215us       1.913us           0 b           0 b           0 b           0 b            32  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us      90.722us         0.28%      90.722us       2.835us           0 b           0 b           0 b           0 b            32  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us       8.068ms        24.77%       8.068ms     115.261us           0 b           0 b           0 b           0 b            70  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      75.840us         0.23%      75.840us       2.050us           0 b           0 b           0 b           0 b            37  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     100.033us         0.31%     100.033us       3.126us           0 b           0 b           0 b           0 b            32  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       2.444ms         7.50%       2.444ms      76.365us           0 b           0 b           0 b           0 b            32  
