-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      34.529us         0.00%      34.529us       1.079us           0 b           0 b           0 b           0 b            32  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.411ms         0.54%       4.411ms       1.969us           0 b           0 b           0 b           0 b          2240  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.656ms         0.58%       4.656ms       2.239us           0 b           0 b           0 b           0 b          2080  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.801ms         0.35%       2.801ms       1.347us           0 b           0 b           0 b           0 b          2080  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      13.445ms         1.66%      13.445ms       6.464us           0 b           0 b           0 b           0 b          2080  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.915ms         0.24%       1.915ms       0.921us           0 b           0 b           0 b           0 b          2080  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.940ms         0.24%       1.940ms       0.933us           0 b           0 b           0 b           0 b          2080  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.327ms         0.53%       4.327ms       2.049us           0 b           0 b           0 b           0 b          2112  
                                  cudaStreamIsCapturing         0.01%      48.964us         0.01%      48.964us       1.194us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            41  
                                             cudaMalloc         0.53%       4.495ms         0.53%       4.495ms     102.169us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            44  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.834ms         1.71%      13.834ms       2.240us           0 b           0 b           0 b           0 b          6176  
                                               cudaFree         0.23%       1.958ms         0.23%       1.958ms       1.958ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.29%       2.510ms         0.29%       2.510ms       0.575us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4363  
                                cudaGetDriverEntryPoint         0.00%       0.920us         0.00%       0.920us       0.460us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                   cudaGetSymbolAddress         1.18%      10.039ms         1.18%      10.039ms      10.039ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   cudaFuncSetAttribute         6.15%      52.365ms         6.15%      52.365ms     150.473us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           348  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.85%       7.206ms         0.85%       7.206ms       1.388us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5191  
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us     175.587ms        21.69%     175.587ms      42.868us           0 b           0 b           0 b           0 b          4096  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       2.345ms         0.29%       2.345ms       2.223us           0 b           0 b           0 b           0 b          1055  
                                          cudaHostAlloc         0.10%     846.019us         0.10%     846.019us     282.006us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.345ms         0.17%       1.345ms       0.892us           0 b           0 b           0 b           0 b          1508  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.719ms         1.20%       9.719ms       4.548us           0 b           0 b           0 b           0 b          2137  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.811ms         0.47%       3.811ms       1.861us           0 b           0 b           0 b           0 b          2048  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      56.300ms         6.96%      56.300ms      13.745us           0 b           0 b           0 b           0 b          4096  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.005ms         1.24%      10.005ms       3.257us           0 b           0 b           0 b           0 b          3072  
                                         cuLaunchKernel         4.07%      34.635ms         4.07%      34.635ms       8.446us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4101  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us     460.835us         0.06%     460.835us       4.800us           0 b           0 b           0 b           0 b            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.272ms         0.40%       3.272ms       3.196us           0 b           0 b           0 b           0 b          1024  
void (anonymous namespace)::softmax_warp_forward<c10...         0.00%       0.000us         0.00%       0.000us       0.000us      85.759us         0.01%      85.759us       2.680us           0 b           0 b           0 b           0 b            32  
void cutlass::Kernel2<cutlass_75_tensorop_f16_s1688g...         0.00%       0.000us         0.00%       0.000us       0.000us     132.928us         0.02%     132.928us       4.154us           0 b           0 b           0 b           0 b            32  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.219ms         0.27%       2.219ms       2.103us           0 b           0 b           0 b           0 b          1055  
                                        cudaMemsetAsync         5.02%      42.745ms         5.02%      42.745ms       6.614us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb          6463  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.449ms         0.30%       2.449ms       0.379us           0 b           0 b           0 b           0 b          6463  
void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     242.454ms        29.95%     242.454ms     118.097us           0 b           0 b           0 b           0 b          2053  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.398ms         0.30%       2.398ms       2.026us           0 b           0 b           0 b           0 b          1184  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.486ms         0.43%       3.486ms       3.304us           0 b           0 b           0 b           0 b          1055  
ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       5.654ms         0.70%       5.654ms     148.782us           0 b           0 b           0 b           0 b            38  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     790.312us         0.10%     790.312us      24.697us           0 b           0 b           0 b           0 b            32  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     298.051us         0.04%     298.051us       5.139us           0 b           0 b           0 b           0 b            58  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us      24.708us         0.00%      24.708us       0.797us           0 b           0 b           0 b           0 b            31  
void at::native::mbtopk::radixFindKthValues<c10::Hal...         0.00%       0.000us         0.00%       0.000us       0.000us     192.194us         0.02%     192.194us       3.100us           0 b           0 b           0 b           0 b            62  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us      93.250us         0.01%      93.250us       1.504us           0 b           0 b           0 b           0 b            62  
void at::native::mbtopk::computeBlockwiseKthCounts<u...         0.00%       0.000us         0.00%       0.000us       0.000us      35.202us         0.00%      35.202us       1.136us           0 b           0 b           0 b           0 b            31  
                                     cudaGetDeviceCount         0.00%       0.199us         0.00%       0.199us       0.199us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                  cudaFuncGetAttributes         2.03%      17.285ms         2.03%      17.285ms     540.145us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      48.613us         0.01%      48.613us       0.784us           0 b           0 b           0 b           0 b            62  
                                    cudaPeekAtLastError         0.01%      58.053us         0.01%      58.053us       0.097us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           596  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.02%     210.871us         0.02%     210.871us       0.680us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           310  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     127.135us         0.02%     127.135us       2.051us           0 b           0 b           0 b           0 b            62  
void at::native::mbtopk::gatherTopK<c10::Half, unsig...         0.00%       0.000us         0.00%       0.000us       0.000us     117.087us         0.01%     117.087us       3.777us           0 b           0 b           0 b           0 b            31  
void at::native::bitonicSortKVInPlace<2, -1, 16, 16,...         0.00%       0.000us         0.00%       0.000us       0.000us     121.057us         0.01%     121.057us       3.905us           0 b           0 b           0 b           0 b            31  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      81.822us         0.01%      81.822us       1.320us           0 b           0 b           0 b           0 b            62  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.812us         0.02%     126.812us       2.045us           0 b           0 b           0 b           0 b            62  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.928us         0.00%      24.928us       0.804us           0 b           0 b           0 b           0 b            31  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.373us         0.01%      54.373us       0.877us           0 b           0 b           0 b           0 b            62  
