-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     189.280us         0.01%     189.280us       5.736us           0 b           0 b           0 b           0 b            33  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     179.040us         0.01%     179.040us       5.425us           0 b           0 b           0 b           0 b            33  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     279.360us         0.01%     279.360us       3.935us           0 b           0 b           0 b           0 b            71  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     197.601us         0.01%     197.601us       5.988us           0 b           0 b           0 b           0 b            33  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.144ms         0.42%      11.144ms       4.824us           0 b           0 b           0 b           0 b          2310  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.588ms         0.48%      12.588ms       5.866us           0 b           0 b           0 b           0 b          2146  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.508ms         0.40%      10.508ms       4.899us           0 b           0 b           0 b           0 b          2145  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      25.288ms         0.96%      25.288ms      11.789us           0 b           0 b           0 b           0 b          2145  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.770ms         0.37%       9.770ms       4.555us           0 b           0 b           0 b           0 b          2145  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.567ms         0.44%      11.567ms       5.393us           0 b           0 b           0 b           0 b          2145  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.572ms         0.71%      18.572ms       5.802us           0 b           0 b           0 b           0 b          3201  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      45.529ms         1.73%      45.529ms       7.149us           0 b           0 b           0 b           0 b          6369  
                                      hipModuleLoadData         5.96%     141.368ms         5.96%     141.368ms      35.342ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                               hipExtModuleLaunchKernel         2.20%      52.162ms         2.20%      52.162ms       4.920us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10603  
Cijk_Alik_Bljk_HHS_BH_MT128x96x64_MI32x32x8x1_SE_1LD...         0.00%       0.000us         0.00%       0.000us       0.000us      92.633ms         3.52%      92.633ms     279.859us           0 b           0 b           0 b           0 b           331  
                                          hipHostMalloc         0.00%      67.310us         0.00%      67.310us      67.310us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      11.864ms         0.45%      11.864ms      10.904us           0 b           0 b           0 b           0 b          1088  
                           Memcpy DtoH (Device -> Host)         0.00%       0.000us         0.00%       0.000us       0.000us      22.860ms         0.87%      22.860ms      10.004us           0 b           0 b           0 b           0 b          2285  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.777ms         0.11%       2.777ms       2.630us           0 b           0 b           0 b           0 b          1056  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       8.673ms         0.33%       8.673ms       8.213us           0 b           0 b           0 b           0 b          1056  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.484ms         0.36%       9.484ms       8.981us           0 b           0 b           0 b           0 b          1056  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.481ms         0.40%      10.481ms       9.925us           0 b           0 b           0 b           0 b          1056  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      50.805ms         1.93%      50.805ms      11.965us           0 b           0 b           0 b           0 b          4246  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.536ms         0.48%      12.536ms       5.936us           0 b           0 b           0 b           0 b          2112  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     357.362ms        13.58%     357.362ms      84.603us           0 b           0 b           0 b           0 b          4224  
